codename,key,url,summary,issue_type,status,status_category,is_open,priority,parent_key,parent_summary,initiative_key,reporter,assignee,origin,labels,updated
IP,UBT-14270,https://esg-uk.atlassian.net/browse/UBT-14270,Issues with saving/resuming and mock data,Defect Sub-task,Done,Done,False,Normal,UBT-13677,Instalment Plan - Dev-Eng Story 004 - New Plan Wizard,UBT-13419,James Ots,Unassigned,DEV_TEST,DEV_TEST,2026-06-08T11:58:21.492+0100
IP,UBT-14280,https://esg-uk.atlassian.net/browse/UBT-14280,Payment configuration doesn't call backend validation,Defect Sub-task,Done,Done,False,Normal,UBT-13677,Instalment Plan - Dev-Eng Story 004 - New Plan Wizard,UBT-13419,James Ots,Unassigned,DEV_TEST,DEV_TEST|release-notes-generated,2026-06-08T11:56:32.801+0100
IP,UBT-14330,https://esg-uk.atlassian.net/browse/UBT-14330,Can't delete attachments,Defect Sub-task,Not Required,Done,False,Normal,UBT-13677,Instalment Plan - Dev-Eng Story 004 - New Plan Wizard,UBT-13419,James Ots,James Ots,DEV_TEST,DEV_TEST,2026-05-25T13:00:39.946+0100
IP,UBT-14398,https://esg-uk.atlassian.net/browse/UBT-14398,Payment-Settlement-Service won't compile,Defect Sub-task,Done,Done,False,Normal,UBT-13677,Instalment Plan - Dev-Eng Story 004 - New Plan Wizard,UBT-13419,James Ots,Unassigned,DEV_TEST,DEV_TEST|release-notes-generated,2026-06-08T11:56:34.724+0100
IP,UBT-14605,https://esg-uk.atlassian.net/browse/UBT-14605,Instalment Plan - Dev-Eng Story 018 - Drop wizard preflight validate calls,Defect Sub-task,Done,Done,False,Normal,UBT-13419,Instalment Plan: New Plan,UBT-13419,martin.whipp,Unassigned,DEV_TEST,release-notes-generated,2026-06-08T11:57:02.442+0100
IP,UBT-14724,https://esg-uk.atlassian.net/browse/UBT-14724,NPE getting user name,Defect Sub-task,Done,Done,False,Normal,UBT-13680,Instalment Plan - Dev-Eng Story 011 - Scheduler,UBT-13422,James Ots,Unassigned,DEV_TEST,DEV_TEST|release-notes-generated,2026-06-08T11:57:24.948+0100
IP,UBT-14725,https://esg-uk.atlassian.net/browse/UBT-14725,Can't load config settings,Defect Sub-task,Done,Done,False,Normal,UBT-13680,Instalment Plan - Dev-Eng Story 011 - Scheduler,UBT-13422,James Ots,Unassigned,DEV_TEST,DEV_TEST|release-notes-generated,2026-06-08T11:57:16.728+0100
IP,UBT-14796,https://esg-uk.atlassian.net/browse/UBT-14796,Payment Settlement Application pod not starting due to missing DB values ,Defect Sub-task,Done,Done,False,Normal,UBT-13416,Instalment Plan: Standard Configuration,UBT-13416,Mike Sanusi,Unassigned,SYSTEM_TEST,SYSTEM_TEST|release-notes-generated,2026-06-08T11:56:56.941+0100
IP,UBT-14846,https://esg-uk.atlassian.net/browse/UBT-14846,Automated Payment Order is a text box not a toggle,Defect Sub-task,Done,Done,False,Normal,UBT-13417,Instalment Plan: Plan Configuration,UBT-13417,Mike Sanusi,Unassigned,SYSTEM_TEST,SYSTEM_TEST|release-notes-generated,2026-06-08T11:58:20.036+0100
IP,UBT-14847,https://esg-uk.atlassian.net/browse/UBT-14847,No minimum validation created,Defect Sub-task,Done,Done,False,Normal,UBT-13417,Instalment Plan: Plan Configuration,UBT-13417,Mike Sanusi,Unassigned,SYSTEM_TEST,SYSTEM_TEST|release-notes-generated,2026-06-08T11:58:19.379+0100
IP,UBT-14848,https://esg-uk.atlassian.net/browse/UBT-14848,Failed & Underpaid Instalment Handling section incorrect,Defect Sub-task,Done,Done,False,Normal,UBT-13417,Instalment Plan: Plan Configuration,UBT-13417,Mike Sanusi,Unassigned,SYSTEM_TEST,SYSTEM_TEST|release-notes-generated,2026-06-08T11:58:18.690+0100
IP,UBT-14849,https://esg-uk.atlassian.net/browse/UBT-14849,Name change - Minimum Instalment Automated Plan Value Threshold,Defect Sub-task,Done,Done,False,Normal,UBT-13417,Instalment Plan: Plan Configuration,UBT-13417,Mike Sanusi,Unassigned,SYSTEM_TEST,SYSTEM_TEST|release-notes-generated,2026-06-08T11:58:48.769+0100
IP,UBT-14871,https://esg-uk.atlassian.net/browse/UBT-14871,Instalment plan tab to be moved,Defect Sub-task,Done,Done,False,Normal,UBT-13418,Instalment Plan: Load Screen,UBT-13418,Mike Sanusi,Unassigned,SYSTEM_TEST,SYSTEM_TEST|release-notes-generated,2026-06-08T11:57:26.118+0100
IP,UBT-14999,https://esg-uk.atlassian.net/browse/UBT-14999,Align IP statuses in Billing-FrontEnd with back end,Defect Sub-task,Done,Done,False,Normal,UBT-13678,Instalment Plan - Dev-Eng Story 005 - View Plan,UBT-13420,paul.martin,Unassigned,DEV_TEST,DEV_TEST|release-notes-generated,2026-06-08T11:58:07.826+0100
IP,UBT-15015,https://esg-uk.atlassian.net/browse/UBT-15015,Some components and labels aren't aligned,Defect Sub-task,Done,Done,False,Normal,UBT-13417,Instalment Plan: Plan Configuration,UBT-13417,paul.martin,Unassigned,DEV_TEST,DEV_TEST,2026-06-08T11:58:18.063+0100
IP,UBT-15027,https://esg-uk.atlassian.net/browse/UBT-15027,Ensure that the first collection setting is more than the minimum lead time setting,Defect Sub-task,Done,Done,False,Normal,UBT-13417,Instalment Plan: Plan Configuration,UBT-13417,paul.martin,Unassigned,DEV_TEST,DEV_TEST|release-notes-generated,2026-06-08T11:57:15.495+0100
IP,UBT-15029,https://esg-uk.atlassian.net/browse/UBT-15029,Instalment Plan Config settings set as optional when they should be mandatory,Defect Sub-task,Done,Done,False,Normal,UBT-13417,Instalment Plan: Plan Configuration,UBT-13417,paul.martin,Unassigned,DEV_TEST,DEV_TEST|release-notes-generated,2026-06-08T11:56:21.582+0100
IP,UBT-15033,https://esg-uk.atlassian.net/browse/UBT-15033,Ensure all appropriate KAI flags show for Instalment Plans,Defect Sub-task,Done,Done,False,Normal,UBT-13418,Instalment Plan: Load Screen,UBT-13418,paul.martin,Unassigned,DEV_TEST,DEV_TEST|release-notes-generated,2026-06-08T11:57:05.850+0100
IP,UBT-15038,https://esg-uk.atlassian.net/browse/UBT-15038,Tooltips incorrect on Failed & Underpaid Instalment Handling,Defect Sub-task,Done,Done,False,Normal,UBT-13417,Instalment Plan: Plan Configuration,UBT-13417,Mike Sanusi,Unassigned,SYSTEM_TEST,SYSTEM_TEST|release-notes-generated,2026-06-08T11:56:53.237+0100
IP,UBT-15042,https://esg-uk.atlassian.net/browse/UBT-15042,Billing-FrontEnd -Instalment Plan View now showing scrollbar for instalment,Defect Sub-task,Done,Done,False,Normal,UBT-13420,Instalment Plan: View Plan,UBT-13420,Salman Javed,Unassigned,DEV_TEST,DEV_TEST|release-notes-generated,2026-06-08T11:58:31.706+0100
IP,UBT-15067,https://esg-uk.atlassian.net/browse/UBT-15067,Ensure that the more than dependency validation displays correctly,Defect Sub-task,Done,Done,False,Normal,UBT-13417,Instalment Plan: Plan Configuration,UBT-13417,paul.martin,Unassigned,DEV_TEST,DEV_TEST|release-notes-generated,2026-06-08T11:56:20.087+0100
IP,UBT-15073,https://esg-uk.atlassian.net/browse/UBT-15073,"""All Instalments Paid - Instalment Plan Complete"" never raised",Defect Sub-task,Done,Done,False,Normal,UBT-13424,Instalment Plan: Activities,UBT-13424,James Ots,Unassigned,DEV_TEST,DEV_TEST|release-notes-generated,2026-06-08T11:58:38.806+0100
IP,UBT-15077,https://esg-uk.atlassian.net/browse/UBT-15077,"""Instalment Plan Rejected"" raised twice",Defect Sub-task,Done,Done,False,Normal,UBT-13424,Instalment Plan: Activities,UBT-13424,James Ots,Unassigned,DEV_TEST,DEV_TEST|release-notes-generated,2026-06-08T11:58:49.911+0100
IP,UBT-15078,https://esg-uk.atlassian.net/browse/UBT-15078,"""Pre-Start instalment Plan Near/Past Payment Request Date"" called for manual plans",Defect Sub-task,Done,Done,False,Normal,UBT-13424,Instalment Plan: Activities,UBT-13424,James Ots,Unassigned,DEV_TEST,DEV_TEST|release-notes-generated,2026-06-08T11:58:49.388+0100
IP,UBT-15082,https://esg-uk.atlassian.net/browse/UBT-15082,"""Pre-Start Instalment Plan Past Payment Request Date"" uses wrong trigger date",Defect Sub-task,Done,Done,False,Normal,UBT-13424,Instalment Plan: Activities,UBT-13424,James Ots,Unassigned,DEV_TEST,DEV_TEST|release-notes-generated,2026-06-08T11:57:01.273+0100
IP,UBT-15083,https://esg-uk.atlassian.net/browse/UBT-15083,"""Instalment Plan Unsettled - End Date Reached"" raised twice",Defect Sub-task,Done,Done,False,Normal,UBT-13424,Instalment Plan: Activities,UBT-13424,James Ots,Unassigned,DEV_TEST,DEV_TEST|release-notes-generated,2026-06-08T11:57:00.685+0100
IP,UBT-15084,https://esg-uk.atlassian.net/browse/UBT-15084,"""Instalment Plan Unsettled - End Date Reached"" may not get triggered",Defect Sub-task,Done,Done,False,Normal,UBT-13424,Instalment Plan: Activities,UBT-13424,James Ots,Unassigned,DEV_TEST,DEV_TEST|release-notes-generated,2026-06-08T11:57:03.025+0100
IP,UBT-15085,https://esg-uk.atlassian.net/browse/UBT-15085,Duplicate prevention not pre-checked at PSS level,Defect Sub-task,Done,Done,False,Normal,UBT-13424,Instalment Plan: Activities,UBT-13424,James Ots,Unassigned,DEV_TEST,DEV_TEST|release-notes-generated,2026-06-08T11:57:04.219+0100
IP,UBT-15099,https://esg-uk.atlassian.net/browse/UBT-15099,Signed Agreement lifecycle and propagation mismatch,Defect Sub-task,Done,Done,False,Normal,UBT-13420,Instalment Plan: View Plan,UBT-13420,paul.martin,Unassigned,DEV_TEST,DEV_TEST|release-notes-generated,2026-06-08T11:56:13.765+0100
IP,UBT-15101,https://esg-uk.atlassian.net/browse/UBT-15101,Defect: Instalment Plan Load Screen - peer review feedback (Rebecca),Defect Sub-task,Done,Done,False,Normal,UBT-13418,Instalment Plan: Load Screen,UBT-13418,martin.whipp,Unassigned,DEV_TEST,DEV_TEST|defect|peer-review-feedback|release-notes-generated,2026-06-08T11:58:41.317+0100
IP,UBT-15102,https://esg-uk.atlassian.net/browse/UBT-15102,Defect: Instalment Plan Plan Configuration - peer review feedback (Rebecca),Defect Sub-task,Done,Done,False,Normal,UBT-13417,Instalment Plan: Plan Configuration,UBT-13417,martin.whipp,Unassigned,DEV_TEST,DEV_TEST|defect|peer-review-feedback|release-notes-generated,2026-06-08T11:58:43.570+0100
IP,UBT-15104,https://esg-uk.atlassian.net/browse/UBT-15104,Defect: Instalment Plan New Plan - peer review feedback (Rebecca),Defect Sub-task,Done,Done,False,Normal,UBT-13419,Instalment Plan: New Plan,UBT-13419,martin.whipp,Unassigned,DEV_TEST,DEV_TEST|defect|peer-review-feedback,2026-06-08T11:58:38.243+0100
IP,UBT-15126,https://esg-uk.atlassian.net/browse/UBT-15126,Prevent Mixed Plan and Invoice Allocation in Gateway Create Flow,Defect Sub-task,Done,Done,False,Normal,UBT-13422,Instalment Plan: System,UBT-13422,paul.martin,Unassigned,DEV_TEST,DEV_TEST|release-notes-generated,2026-06-08T11:57:49.716+0100
IP,UBT-15127,https://esg-uk.atlassian.net/browse/UBT-15127, Ensure Plan-Route Payments Create Correct Site Associations,Defect Sub-task,Done,Done,False,Normal,UBT-13422,Instalment Plan: System,UBT-13422,paul.martin,Unassigned,DEV_TEST,DEV_TEST|release-notes-generated,2026-06-08T11:57:49.187+0100
IP,UBT-15128,https://esg-uk.atlassian.net/browse/UBT-15128,Surface Gateway Plan-Allocation Failure as Payment-Processing Failure,Defect Sub-task,Done,Done,False,Normal,UBT-13422,Instalment Plan: System,UBT-13422,paul.martin,Unassigned,DEV_TEST,DEV_TEST|release-notes-generated,2026-06-08T11:57:50.810+0100
IP,UBT-15129,https://esg-uk.atlassian.net/browse/UBT-15129,Enforce Ringfenced Invoice Blocking for Non-Plan Manual Allocations on /payments/add,Defect Sub-task,Done,Done,False,Normal,UBT-13422,Instalment Plan: System,UBT-13422,paul.martin,Unassigned,DEV_TEST,DEV_TEST|release-notes-generated,2026-06-08T11:57:51.978+0100
IP,UBT-15134,https://esg-uk.atlassian.net/browse/UBT-15134,Allow Overdue Instalment Plans in Payment File Upload Validation,Defect Sub-task,Done,Done,False,Normal,UBT-13422,Instalment Plan: System,UBT-13422,paul.martin,Unassigned,DEV_TEST,release-notes-generated,2026-06-08T11:57:40.463+0100
IP,UBT-15135,https://esg-uk.atlassian.net/browse/UBT-15135,Defect: Instalment Plan View Plan - peer review feedback (Rebecca),Defect Sub-task,Done,Done,False,Normal,UBT-13420,Instalment Plan: View Plan,UBT-13420,martin.whipp,Unassigned,DEV_TEST,defect|peer-review-feedback|release-notes-generated,2026-06-08T11:57:37.462+0100
IP,UBT-15138,https://esg-uk.atlassian.net/browse/UBT-15138,Trying to raise activities with non-existent type,Defect Sub-task,Done,Done,False,Normal,UBT-13424,Instalment Plan: Activities,UBT-13424,James Ots,Unassigned,DEV_TEST,release-notes-generated,2026-06-08T11:57:43.869+0100
IP,UBT-15142,https://esg-uk.atlassian.net/browse/UBT-15142,Update constant_keyaccountinformationflag,Defect Sub-task,Done,Done,False,Normal,UBT-13418,Instalment Plan: Load Screen,UBT-13418,Mike Sanusi,Unassigned,SYSTEM_TEST,release-notes-generated,2026-06-08T11:56:33.474+0100
IP,UBT-15143,https://esg-uk.atlassian.net/browse/UBT-15143,Create Allocation Rows for Plan-Route Ringfenced Invoice Flow-Through,Defect Sub-task,Done,Done,False,Normal,UBT-13422,Instalment Plan: System,UBT-13422,paul.martin,Unassigned,DEV_TEST,release-notes-generated,2026-06-08T11:56:47.311+0100
IP,UBT-15144,https://esg-uk.atlassian.net/browse/UBT-15144,Enforce Ringfenced Invoice Exclusion for Non-Plan Automated Allocation Strategies,Defect Sub-task,Done,Done,False,Normal,UBT-13422,Instalment Plan: System,UBT-13422,paul.martin,Unassigned,DEV_TEST,release-notes-generated,2026-06-08T11:58:23.322+0100
IP,UBT-15147,https://esg-uk.atlassian.net/browse/UBT-15147,Align Instalment Plan DMC Config Changesets from feature/debt/main,Defect Sub-task,Done,Done,False,Normal,UBT-13418,Instalment Plan: Load Screen,UBT-13418,martin.whipp,Unassigned,DEV_TEST,,2026-06-08T11:57:36.862+0100
IP,UBT-15151,https://esg-uk.atlassian.net/browse/UBT-15151,Remaining Amount does not populate from the DB,Defect Sub-task,Done,Done,False,Normal,UBT-13418,Instalment Plan: Load Screen,UBT-13418,Mike Sanusi,Unassigned,SYSTEM_TEST,,2026-06-08T11:57:19.414+0100
IP,UBT-15155,https://esg-uk.atlassian.net/browse/UBT-15155,User is not able click to navigate back to 'Invoice Selection' after progressing,Defect Sub-task,Done,Done,False,Normal,UBT-13419,Instalment Plan: New Plan,UBT-13419,Mike Sanusi,Unassigned,SYSTEM_TEST,release-notes-generated,2026-06-08T11:57:20.540+0100
